CNTSTUID;CNTSCHID;STRATUM;STU_GENDER;ISCEDP;REPEAT;EXERPRAC;RELATST;BULLIED;FAMSUP;HISCED;ICTRES;ESCS;SCHLTYPE;SCHSIZE;TOTAT;PROATCE;STRATIO;STAFFSHORT;EDUSHORT;SCPREPBP;SCPREPAP;PROBSCRI;CV19_ONLINE_CLASS;CV19_CANCELLED_CLASS;TC_GENDER_MEAN;TC_AGE_MEAN;TC_EXP_MEAN;TC_PERM_PERC;PV1MATH;PV2MATH;PV3MATH;PV4MATH;PV5MATH;PV6MATH;PV7MATH;PV8MATH;PV9MATH;PV10MATH;PV1FLIT;PV2FLIT;PV3FLIT;PV4FLIT;PV5FLIT;PV6FLIT;PV7FLIT;PV8FLIT;PV9FLIT;PV10FLIT;PV1CRTH_NC;PV2CRTH_NC;PV3CRTH_NC;PV4CRTH_NC;PV5CRTH_NC;PV6CRTH_NC;PV7CRTH_NC;PV8CRTH_NC;PV9CRTH_NC;PV10CRTH_NC
62050001.0;62000159.0;PRT15;1.0;244.0;1.0;6.0;0.1469;1.1953;0.0332;7.0;-0.4318;0.0389;3.0;1211.0;130.5;0.9693;9.2797;0.8371;0.7973;1.5317;0.8462;0.3285;4.0;1.0;;;;;326.025;310.683;381.501;361.194;323.509;345.07;388.066;324.94;349.369;381.564;275.156;317.354;315.489;334.765;266.051;362.615;338.191;285.508;336.783;294.46;;;;;;;;;;
62050002.0;62000170.0;PRT09;2.0;344.0;0.0;5.0;0.2898;-1.228;-0.2763;8.0;-0.083;0.2477;3.0;1354.0;139.5;0.9606;9.7061;1.2579;-0.2376;0.0464;-0.7898;0.7965;4.0;1.0;1.2857142857142858;55.666666666666664;31.428571428571427;0.8571428571428571;512.913;449.364;495.248;463.337;482.636;451.378;513.194;482.906;451.828;503.462;528.411;543.353;497.067;456.889;525.051;515.865;553.942;511.938;430.288;499.719;;;;;;;;;;
62050003.0;62000004.0;PRT07;1.0;244.0;1.0;2.0;-0.5679;0.6699;1.7153;9.0;-0.6631;-0.0502;3.0;1800.0;141.0;1.0;12.766;0.6231;0.6299;-0.8314;-4.1689;1.111;5.0;5.0;1.3157894736842106;53.63157894736842;27.63157894736842;0.8421052631578947;330.337;311.841;317.021;342.866;317.368;296.419;289.103;305.524;321.234;291.092;414.165;388.497;409.107;410.837;458.472;385.367;365.902;425.187;396.244;388.843;;;;;;;;;;
62050005.0;62000044.0;PRT10;1.0;344.0;0.0;1.0;2.2513;-1.228;-0.62;8.0;-0.083;0.7341;3.0;2190.0;286.0;1.0;7.6573;4.0442;2.9595;;;;;;1.434782608695652;51.041666666666664;24.041666666666668;0.7916666666666666;512.038;518.364;529.584;505.298;495.686;503.985;516.639;499.1;528.522;507.636;476.505;500.268;478.663;514.327;502.703;499.884;412.701;478.555;536.323;452.245;;;;;;;;;;
62050007.0;62000001.0;PRT08;2.0;344.0;0.0;10.0;2.9152;0.1107;-0.0578;4.0;-0.243;-0.8923;1.0;1398.0;67.5;1.0;20.7111;-1.4551;-1.4212;0.0464;0.1102;-0.5687;5.0;1.0;1.5;42.72222222222222;18.27777777777778;0.7222222222222222;717.597;689.809;709.901;666.03;663.962;735.634;707.359;700.828;707.304;653.374;752.673;653.346;763.571;687.354;702.984;712.948;685.122;698.41;747.066;687.006;;;;;;;;;;
62050009.0;62000090.0;PRT20;2.0;354.0;0.0;10.0;-0.048;-1.228;0.6999;3.0;-1.1846;-1.6171;3.0;2638.0;309.0;1.0;8.5372;1.5683;1.6996;0.4911;0.8462;0.6649;5.0;1.0;1.380952380952381;52.904761904761905;28.80952380952381;0.7142857142857143;544.768;481.282;503.555;498.667;440.398;433.647;469.005;528.476;500.597;458.287;598.66;542.4;569.643;560.334;535.276;536.811;549.53;534.421;542.048;505.615;;;;;;;;;;
62050010.0;62000182.0;PRT18;1.0;344.0;0.0;3.0;0.6367;-1.228;1.6481;6.0;0.1762;-0.0498;3.0;2276.0;267.0;0.9963;8.5243;0.43;0.1;0.8101;-0.4247;0.1896;5.0;1.0;1.2727272727272727;52.68181818181818;28.318181818181817;0.8181818181818182;449.233;492.739;438.502;483.002;547.775;456.327;523.057;455.644;486.603;463.76;513.656;508.631;503.957;552.399;542.557;544.754;519.322;522.747;518.133;518.875;;;;;;;;;;
62050013.0;62000048.0;PRT08;2.0;344.0;0.0;10.0;-0.7949;-1.228;0.4923;4.0;0.1031;-0.4218;3.0;1368.0;176.0;0.8807;7.7727;2.1075;1.2478;-0.0337;0.8462;1.111;5.0;1.0;1.1904761904761905;51.333333333333336;25.80952380952381;0.6363636363636364;518.25;523.452;561.296;505.823;565.719;563.27;515.053;482.305;580.29;550.382;538.399;537.506;513.418;548.486;566.58;545.277;534.376;531.932;543.017;605.907;;;;;;;;;;
62050015.0;62000040.0;PRT10;1.0;344.0;0.0;4.0;0.3188;-1.228;-0.6211;7.0;0.0346;0.4236;3.0;649.0;89.0;0.9775;7.2921;1.0815;1.6729;-0.8314;0.8462;0.3786;5.0;1.0;1.2941176470588236;48.294117647058826;20.1875;0.4117647058823529;441.958;487.973;445.807;478.426;444.321;441.616;447.092;489.953;468.744;479.803;470.746;550.053;420.155;495.314;513.394;507.363;449.429;516.961;469.246;495.707;;;;;;;;;;
62050016.0;62000175.0;PRT04;1.0;344.0;0.0;2.0;0.8541;0.6132;-0.9405;8.0;-0.7424;0.8708;3.0;1700.0;195.0;1.0;8.7179;0.3595;-1.4212;;;;;;1.25;48.65;23.94736842105263;0.7;516.885;458.953;514.316;485.724;529.379;575.157;495.151;506.562;500.255;481.302;522.793;488.867;529.994;493.714;492.391;537.4;526.512;513.485;486.596;479.205;;;;;;;;;;
62050017.0;62000044.0;PRT10;1.0;344.0;0.0;3.0;-0.3136;-1.228;1.8194;10.0;-1.9303;-1.0748;3.0;2190.0;286.0;1.0;7.6573;4.0442;2.9595;;;;;;1.434782608695652;51.041666666666664;24.041666666666668;0.7916666666666666;345.075;345.331;352.955;338.712;315.088;353.099;406.943;347.214;332.324;370.146;320.08;333.253;374.332;366.88;362.093;410.206;364.189;353.753;373.089;336.292;;;;;;;;;;
62050022.0;62000118.0;PRT21;1.0;344.0;0.0;10.0;1.7876;-1.228;0.8626;5.0;0.4658;0.419;1.0;899.0;67.0;0.9701;13.4179;-1.4551;-1.4212;0.0464;0.1102;-1.0628;5.0;1.0;1.3888888888888888;48.0;23.38888888888889;0.9444444444444444;549.823;541.451;561.309;544.186;565.456;545.532;555.045;555.283;553.937;563.954;544.965;574.524;588.908;506.569;597.111;552.423;553.254;629.631;586.905;611.431;;;;;;;;;;
62050023.0;62000072.0;PRT07;2.0;244.0;1.0;4.0;-0.4502;-0.391;-0.0476;8.0;-0.4132;0.6803;3.0;1294.0;148.5;1.0;8.7138;-0.3163;-0.2376;0.7916;0.8462;1.2328;2.0;1.0;1.1428571428571428;52.357142857142854;24.5;0.7142857142857143;404.447;423.619;444.113;444.44;423.308;388.665;411.994;416.594;412.055;399.825;465.523;367.422;454.199;422.702;462.263;418.096;427.532;467.717;434.309;388.068;;;;;;;;;;
62050024.0;62000088.0;PRT08;2.0;344.0;;;;;;;;;1.0;1519.0;99.0;1.0;15.3434;0.21;0.0686;0.7337;0.8462;-0.5687;5.0;1.0;1.2083333333333333;42.458333333333336;15.347826086956522;0.875;554.878;506.95;618.749;529.165;543.742;547.943;558.592;562.471;547.934;592.324;560.393;504.071;584.41;524.986;546.823;540.004;545.264;499.732;529.691;525.715;;;;;;;;;;
62050025.0;62000055.0;PRT07;1.0;244.0;0.0;0.0;-0.8281;0.5381;;10.0;-1.0803;-0.5861;3.0;969.0;99.5;0.9648;9.7387;0.43;1.6863;-0.8314;0.8462;0.3786;5.0;1.0;1.105263157894737;54.10526315789474;28.526315789473685;0.8421052631578947;358.296;399.992;368.71;351.503;341.277;358.745;347.935;438.457;372.121;354.323;375.116;414.034;339.609;413.016;407.187;393.117;349.902;426.806;384.639;414.748;;;;;;;;;;
62050026.0;62000111.0;PRT07;2.0;344.0;0.0;10.0;-0.0722;0.2289;1.0728;9.0;-0.8663;0.9025;3.0;3506.0;325.0;0.0031;10.7877;0.85;0.1;;;;;;1.2857142857142858;52.57142857142857;27.952380952380953;0.7619047619047619;514.677;501.806;488.696;521.369;534.65;524.2;457.457;505.181;498.709;454.051;522.258;551.436;495.372;502.261;529.129;545.45;491.722;507.568;518.503;469.218;;;;;;;;;;
62050028.0;62000186.0;PRT03;1.0;344.0;0.0;5.0;-0.037;-1.228;-0.1198;10.0;0.4658;0.7893;3.0;2076.0;317.5;0.9449;6.5386;1.1782;0.1;;;;;;1.45;44.15;16.4;0.4;492.357;554.816;472.352;466.58;563.45;492.57;560.126;468.357;518.901;531.117;486.731;546.576;500.784;525.183;501.434;480.006;504.034;472.334;496.411;513.453;;;;;;;;;;
